CENTER_NAME,name,URL,LATITUDE,LONGITUDE
Emmanuel Praise & Worship Center,Emmanuel Praise & Worship Center,http://theepwc.org,35.96506003,-78.90563251
W. Deen Mohammed Islamic Center,W. Deen Mohammed Islamic Center,http://www.wdmislamiccenter.com,35.98089743,-78.89988185
Rebuild Fellowship,Rebuild Fellowship,https://www.rebuildchurch.com,35.9822518,-78.8969207
Word of Life Worship Center,Word of Life Worship Center,https://wlwc.org,35.98502991,-78.89992477
"Durham, Revival Worship Centre","Durham, Revival Worship Centre",http://drwconline.org,35.98867604,-78.89404537
United Nations Worship Center,United Nations Worship Center,http://www.unitednationschurch.org,35.9872697,-78.92869951
Kingdom Builders Christian Center,Kingdom Builders Christian Center,http://kingdom-builders.com,35.98060224,-78.95530702
Ar-Razzaq Islamic Center,Ar-Razzaq Islamic Center,https://arrazzaqislamiccenter.org,35.99824199,-78.91556741
Ecclesia House of Prayer,Ecclesia House of Prayer,https://www.discoverdurham.com/directory/ecclesia-house-of-prayer/,35.99148865,-78.88612749
Ekklesia Community Development Center,Ekklesia Community Development Center,https://www.guidestar.org/profile/30-0404366,35.99628028,-78.88934614
Nehemiah Christian Center,Nehemiah Christian Center,https://www.visitncc.com,35.99967165,-78.89712309
Rivers of Water Christian Center,Rivers of Water Christian Center,https://rowcc.org,35.99510398,-78.87569368
Lincoln Memorial Baptist Church,Lincoln Memorial Baptist Church,https://mylmbc.org,35.98017173,-78.90564859
St. Titus' Episcopal Church,St. Titus' Episcopal Church,https://sttitusdurham.org,35.9780533,-78.90238703
Centennial Chapel and Garden,Centennial Chapel and Garden,https://m.nccu.edu/students/device/text/map/detail?filter=&feed=nccu&id=329&parentId=,35.97510129,-78.90105665
Mount Vernon Baptist Church,Mount Vernon Baptist Church,https://mvbcdurham.org,35.98402644,-78.90238703
Gethsemane Baptist Church,Gethsemane Baptist Church,https://www.discoverdurham.com/directory/gethsemane-baptist-church/,35.98565856,-78.90303076
Mt. Zion Holy Church,Mt. Zion Holy Church,http://www.mountzionuhc.com,35.97989391,-78.89633596
First Chronicles Community Church,First Chronicles Community Church,http://firstchroniclescommunitychurch.org,35.98114411,-78.89569223
Fisher Memorial United Holy Church of America,Fisher Memorial United Holy Church of America,https://www.discoverdurham.com/directory/fisher-memorial-united-holy-church-of-america/,35.98482514,-78.89946878
Faucette Memorial CME,Faucette Memorial CME,https://www.discoverdurham.com/directory/faucette-memorial-c-m-e-church/,35.96881487,-78.91637743
Faith Tabernacle Church of Durham,Faith Tabernacle Church of Durham,https://www.discoverdurham.com/directory/faith-tabernacle-church-of-durham-inc/,35.96429945,-78.92006815
Jamaat Ibad Ar Rahman,Jamaat Ibad Ar Rahman,https://ibadarrahman.org,35.96316188,-78.90854538
Gateway To Heaven United Holy Church,Gateway To Heaven United Holy Church,https://nccompanies.com/company/0796297/gateway-to-heaven-united-holy-church-inc.html,35.96672218,-78.9026016
Greater Bethlehem Temple Apostolic Faith Church,Greater Bethlehem Temple Apostolic Faith Church,http://www.usachurches.org/church/bethlehem-temple-apostolic-faith-church.htm,35.98612735,-78.88841808
God First People Second Church,God First People Second Church,https://www.ctmobi.com/listing/8712034/god-first-people-second-church,35.98894006,-78.88919056
The Church of the Apostolic Revival International,The Church of the Apostolic Revival International,http://www.usachurches.org/church/the-church-of-the-apostolic-revival-international.htm,35.98696076,-78.88764561
United Assembly for Christ,United Assembly for Christ,https://www.discoverdurham.com/directory/united-assembly-for-christ/,35.98991233,-78.89537037
Monroe Christian Church,Monroe Christian Church,https://www.dnb.com/business-directory/company-profiles.monroe_christian_church.4d2817e23e8cff04d9d915c79eda362c.html,35.96442103,-78.88820351
White Rock Baptist Church,White Rock Baptist Church,https://www.whiterockbaptistchurch.org,35.95767348,-78.91066969
Faith Congregation United,Faith Congregation United,,35.96300557,-78.92506778
New Life Chapel,New Life Chapel,https://www.newlifechapel.net,35.96449918,-78.92133415
Bell Yeager Freewill Baptist Church,Bell Yeager Freewill Baptist Church,https://www.bellyeagerfwb.org,35.96432551,-78.91772926
Agape & Power Deliverance Ministry,Agape & Power Deliverance Ministry,https://toplocalplaces.com/united-states/durham/church-religious-organization/agape-power-deliverance-ministry-uhc-of-america/110315032331593,35.96514177,-78.91931713
St. Mark African Methodist Episcopal Zion Church,St. Mark African Methodist Episcopal Zion Church,https://stmarkamez.org,35.98847091,-78.90130985
Immanuel Temple Seventh Day,Immanuel Temple Seventh Day,https://www.immanueltemplechurch.com,35.97987617,-78.89540899
Kyles Temple AME Zion Church,Kyles Temple AME Zion Church,https://www.kylestempleamez.com,35.97911395,-78.90102156
Restoration of Faith Church,Restoration of Faith Church,https://opencorporates.com/companies/us_nc/1515588,35.9714386,-78.91084917
St. Joseph's AME Church,St. Joseph's AME Church,https://www.stjosephame.org,35.96861659,-78.90239485
A Place of Hope Community Wesleyan Church,A Place of Hope Community Wesleyan Church,https://www.unitedstateschurches.com/north-carolina/a-place-of-hope-community-wesleyan-church-durham/178761,36.00474759,-78.8845927
Aldersgate United Methodist Church,Aldersgate United Methodist Church,https://aldersgate.org,36.08450584,-78.93997792
Asbury United Methodist Church,Asbury United Methodist Church,https://www.asburyunitedmethodist.com,36.01100048,-78.91805162
Berea Baptist Church,Berea Baptist Church,http://www.bereabaptistdurham.org,35.93122487,-78.91807425
Bethany United Methodist Church,Bethany United Methodist Church,https://bethanyumcdurham.org,36.03148024,-78.928914
Bethel Christian Center,Bethel Christian Center,https://betheldurham.com,36.04623483,-78.95784384
Bethesda Baptist Church,Bethesda Baptist Church,https://www.bethesdabaptistchurch.com,35.94386521,-78.83874035
World Mission Society Church of God,World Mission Society Church of God,https://english.watv.org,35.93676409,-78.84127324
Blacknall Memorial Church,Blacknall Memorial Church,https://blacknall.org,36.00846089,-78.92126917
Braggtown Baptist Church,Braggtown Baptist Church,https://www.bbcdurham.com,36.03344838,-78.89018134
Elizabeth Street UMC,Elizabeth Street UMC,https://elizabethstreetumc.org,36.00552795,-78.89123298
Cameron Grove Baptist Church,Cameron Grove Baptist Church,https://www.discoverdurham.com/directory/cameron-grove-baptist-church/,36.03371352,-78.88018981
Christ the King Moravian Church,Christ the King Moravian Church,https://ctkhome.org,35.92947678,-78.95196943
Christian Assembly Church,Christian Assembly Church,https://www.cadurham.org,36.09250662,-78.91014402
Christus Victor Lutheran,Christus Victor Lutheran,https://christus-victor.org,35.90405872,-78.90445238
Cole Mill Road Church of Christ,Cole Mill Road Church of Christ,https://www.colemillroad.org,36.03940259,-78.95710078
The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints,https://www.churchofjesuschrist.org/?lang=eng,36.03850033,-78.95890323
Church of God of Prophecy,Church of God of Prophecy,https://cogop.org,36.03891308,-78.880172
Church of the Abiding Savior,Church of the Abiding Savior,https://abiding-savior-lutheran.org,35.97032921,-78.89267077
Church of the Good Shepherd,Church of the Good Shepherd,https://cgsonline.org,35.97132167,-78.97593549
Church Of The Lord Jesus,Church Of The Lord Jesus,https://tcljc.com,35.98655969,-78.88668376
Community Baptist Church,Community Baptist Church,https://cbcdurham.net,35.93503203,-78.90775737
Cornerstone Bible Church,Cornerstone Bible Church,https://www.cbcofdurham.com,36.09988517,-78.93219509
Cornerstone Community,Cornerstone Community,http://www.c2churchrm.com,36.03346967,-78.97726211
Covenant Presbyterian Church,Covenant Presbyterian Church,https://www.cpcdurham.org,35.96819467,-78.91097548
Cresset Baptist Church,Cresset Baptist Church,https://www.discoverdurham.com/directory/cresset-baptist-church/,35.97311698,-78.97364395
Dayspring Fellowship Church,Dayspring Fellowship Church,https://www.discoverdurham.com/directory/dayspring-fellowship-church/,36.01409258,-78.92156187
Duke Memorial United Methodist Church,Duke Memorial United Methodist Church,https://www.dukememorial.org,35.99815358,-78.90919692
Duke's Chapel UMC,Duke's Chapel UMC,http://dukeschapel.org,36.04315832,-78.88094429
First Baptist Church Durham,First Baptist Church Durham,https://fbcdurham.org,35.99741681,-78.89709822
Durham Memorial Baptist Church,Durham Memorial Baptist Church,https://www.durhammemorial.org,35.975614,-78.80401297
Durham Mennonite Church,Durham Mennonite Church,https://www.durhammennonite.org,35.98004238,-78.84088296
Durham Spanish SDA Church,Durham Spanish SDA Church,https://durhamspanishnc.adventistchurch.org,35.99229656,-78.87470908
Ebenezer Missionary Baptist Church,Ebenezer Missionary Baptist Church,https://embcofdurham.com,35.95978821,-78.88689095
Emmanuel AME Church,Emmanuel AME Church,https://www.emmanuelamec.com,35.95626848,-78.88573785
Epworth United Methodist Church,Epworth United Methodist Church,http://www.epworth-umc.org,35.97029191,-78.93383555
Evangel Assembly of God,Evangel Assembly of God,https://www.eagchurch.life,35.97390209,-78.84782217
Faith Alliance Church,Faith Alliance Church,https://www.faithallianceofdurham.org,36.083839,-78.93852298
Faith Assembly Christian Center,Faith Assembly Christian Center,https://www.facc-ministries.org,35.96393902,-78.90933797
Faith Baptist Church,Faith Baptist Church,https://faithbaptistdurham.com,36.01484494,-78.82431359
Faith Fellowship Church,Faith Fellowship Church,https://www.faithstreet.com/church/faith-fellowship-church-durham-nc,36.01504613,-78.91109223
First Assembly Of God,First Assembly Of God,https://ag.org/church?g=c799504d-bc63-4ccb-8a57-8200a7991ebe&d=False,36.05080419,-78.87081703
First Calvary Baptist Church,First Calvary Baptist Church,https://www.firstcalvary.org,35.99234379,-78.91952622
First Free Will Baptist Church,First Free Will Baptist Church,https://www.discoverdurham.com/directory/first-free-will-baptist-church/,35.98976684,-78.83949808
First Presbyterian Church,First Presbyterian Church,https://firstpres-durham.org/,35.99417632,-78.89822125
Fletcher's Chapel United Methodist Church,Fletcher's Chapel United Methodist Church,https://fletcherschapelumc.org/,36.01272452,-78.80291357
Glendale Heights United Methodist Church,Glendale Heights United Methodist Church,http://glendaleheightsumc.org/,36.0261884,-78.90755936
Good Shepherd Church Of God,Good Shepherd Church Of God,https://gscogic.wixsite.com/goodshepherd,35.98632962,-78.8815934
Gorman Baptist Church,Gorman Baptist Church,https://www.gormanbc.com/,36.04491914,-78.81517525
Grace Baptist Church,Grace Baptist Church,http://www.gracebaptistdurham.org/,36.00594564,-78.89367043
Grace Evangelical Lutheran Church,Grace Evangelical Lutheran Church,https://www.gracedurham.org/,36.01186003,-78.91198063
Greater Refuge Church,Greater Refuge Church,https://www.greystonechurch.com/,36.03432046,-78.86577592
Grey Stone Baptist Church,Grey Stone Baptist Church,https://www.greystonechurch.com/,36.01109692,-78.92920422
Guess Road Baptist Church,Guess Road Baptist Church,http://new.guessroadbaptist.org/,36.03533082,-78.92915272
Hanmaum Church,Hanmaum Church,http://rtp.hanmaum.church/,35.9071346,-78.90385152
Holy Infant Catholic Church,Holy Infant Catholic Church,https://holyinfantchurch.org/,35.91407755,-78.94456878
Immaculate Conception Catholic Church,Immaculate Conception Catholic Church,https://www.icdurham.org/,35.99791875,-78.91414545
Immanuel Baptist Church,Immanuel Baptist Church,https://www.visitimmanuel.org/,36.06102724,-78.94275376
Immanuel Free Will Baptist Church,Immanuel Free Will Baptist Church,https://www.discoverdurham.com/directory/immanuel-free-will-baptist-church/,35.94071081,-78.86278858
Journey Fellowship of Durham,Journey Fellowship of Durham,https://www.journeyrdu.com/,36.00138161,-78.96828581
Korean Presbyterian Church,Korean Presbyterian Church,https://www.discoverdurham.com/directory/korean-presbyterian-church/,36.09565694,-78.91202879
Lakeview Missionary Baptist Church,Lakeview Missionary Baptist Church,https://www.facebook.com/LakeviewMBC/,36.03861619,-78.87736712
Oak Church,Oak Church,https://www.oakdurham.org/,35.98676692,-78.92880358
Layman's Chapel Baptist Church,Layman's Chapel Baptist Church,https://www.discoverdurham.com/directory/laymans-chapel-baptist-church/,36.05939633,-78.89995454
Leesville Road Baptist Church,Leesville Road Baptist Church,https://leesvilleroadbaptistchurch.org/,35.93838418,-78.78027947
Liberty Baptist Church,Liberty Baptist Church,https://lbcdurham.org/,36.06413659,-78.92664668
Lowe's Grove Baptist Church,Lowe's Grove Baptist Church,http://lowesgrovebaptistchurch.com/,35.90463385,-78.88911034
Markham Chapel Baptist Church,Markham Chapel Baptist Church,https://www.discoverdurham.com/directory/markham-chapel-baptist-church/,35.95749385,-78.9540657
McMannen United Methodist Church,McMannen United Methodist Church,https://mcmannenumc.org/,36.02808654,-78.96239091
Millgrove Church Of God In Christ,Millgrove Church Of God In Christ,https://www.discoverdurham.com/directory/millgrove-church-of-god-christ/,36.05787946,-78.89867556
Morehead Avenue Baptist Church,Morehead Avenue Baptist Church,http://www.moreheadavenuebaptistchurch.org/,35.99254255,-78.91657022
Morning Star Missionary Baptist Church,Morning Star Missionary Baptist Church,https://www.msmbcd.com/,35.93849436,-78.90828512
Mount Hermon Baptist Church,Mount Hermon Baptist Church,https://mounthermondurham.org/,36.03144797,-79.02055604
Mt. Olive Missionary Baptist Church,Mt. Olive Missionary Baptist Church,https://www.mobconline.org/,36.03839753,-78.8816154
Mt. Olive Holy Church,Mt. Olive Holy Church,https://www.discoverdurham.com/directory/mt-olive-holy-church/,36.00254301,-78.88487425
Mount Zoar Missionary Baptist Church,Mount Zoar Missionary Baptist Church,https://www.mzmbc.org/p/contact-us.html,36.0052838,-78.8518247
Mt. Bethel Presbyterian Church,Mt. Bethel Presbyterian Church,https://mtbethelchurch.org/,36.04244877,-78.95662851
Mt. Gilead Baptist Church,Mt. Gilead Baptist Church,http://www.mtgbc.org/,36.00107749,-78.89201675
Mt. Level Missionary Baptist Church,Mt. Level Missionary Baptist Church,https://mtlevelmbc.org/,36.0596236,-78.8955597
Mt. Moriah Baptist Church,Mt. Moriah Baptist Church,https://www.discoverdurham.com/directory/mt-moriah-baptist-church/,35.97284171,-79.00917654
Mt. Sylvan United Methodist Church,Mt. Sylvan United Methodist Church,http://mtsylvan.org/,36.09974292,-78.91102483
New Bethel Missionary Baptist Church,New Bethel Missionary Baptist Church,https://m.facebook.com/profile.php?id=115860681776405&_ft_=mf_story_key.1267499690102021%3Atop_level_post_id.1267499690102021%3Atl_objid.1267499690102021%3Acontent_owner_id_new.100005260055549%3Athrowback_story_fbid.1267499690102021%3Apage_id.115860681776405%3Astory_location.22%3Astory_attachment_style.native_templates%3Atagged_locations.115860681776405%3Apage_insights.%7B%22115860681776405%22%3A%7B%22page_id%22%3A115860681776405%2C%22actor_id%22%3A100005260055549%2C%22dm%22%3A%7B%22isShare%22%3A0%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22role%22%3A4%2C%22sl%22%3A22%7D%7D&__tn__=C-R,36.01394468,-78.9381618
New Covenant Holiness Church,New Covenant Holiness Church,http://www.newcovenantdurham.org/,36.03437373,-78.86875549
New Jerusalem Baptist Cathedral,New Jerusalem Baptist Cathedral,https://www.mynjbc.org/,36.03746346,-78.88807573
New Jerusalem Free Will Church,New Jerusalem Free Will Church,https://www.manta.com/c/mm42jbf/new-jerusalem-free-will-baptist-church,35.98141866,-78.84394151
New Shiloh Holiness Church,New Shiloh Holiness Church,https://sites.google.com/site/thenewshilohholinesschurch/,35.95224004,-78.88164639
North Durham Baptist Church,North Durham Baptist Church,https://www.facebook.com/ndurhambaptist/,36.11152489,-78.9285223
Northside Christian Church,Northside Christian Church,https://www.northsidechristiandurham.com/,36.05436615,-78.97382811
Oak Grove Free Will Baptist,Oak Grove Free Will Baptist,https://www.discoverdurham.com/directory/oak-grove-free-will-baptist/,35.98197327,-78.89308612
Olive Branch Baptist Church,Olive Branch Baptist Church,https://www.obbcdurham.org/,35.97493713,-78.78474591
Our Savior Lutheran Church,Our Savior Lutheran Church,https://www.oslcraleigh.org/,36.02511576,-78.90596936
Parkwood Baptist Church,Parkwood Baptist Church,https://www.parkwoodbaptistchurch.com/,35.89427436,-78.90720044
Parkwood United Methodist Church,Parkwood United Methodist Church,http://www.parkwoodumc.org/,35.89524159,-78.90973435
Pilgrim Baptist Church,Pilgrim Baptist Church,https://www.facebook.com/pages/category/Baptist-Church/Pilgrim-Baptist-Church-of-Durham-2420-S-Roxboro-St-Durham-NC-27707-116080221746114/,35.96829927,-78.91658959
Plainview Baptist Church,Plainview Baptist Church,https://www.plainviewbaptistdurham.com/,36.02613546,-78.78373711
Progressive Holiness Church,Progressive Holiness Church,https://www.phcgnc.com/,35.99500138,-78.87993676
New Creation United Methodist Church,New Creation United Methodist Church,http://www.newcreationumcdurham.org/,35.94203341,-78.97768858
Ridgecrest Baptist Church,Ridgecrest Baptist Church,http://www.ridgecrest.cc/,36.10279768,-78.91396113
Riverside Baptist Church,Riverside Baptist Church,https://m.facebook.com/profile.php?id=116832495002317&__tn__=C-R,36.07783366,-78.93208793
Rose Of Sharon Baptist Church,Rose Of Sharon Baptist Church,https://www.rosbc.org/,36.06681705,-78.93415645
Russell Memorial CME Church,Russell Memorial CME Church,http://russellmemorialcme.com/,35.98095427,-78.8909633
St. James Baptist Church,St. James Baptist Church,https://stjamesbaptistchurch.com/,36.01738685,-78.91391093
St. John's Missionary Baptist Church,St. John's Missionary Baptist Church,http://www.stjohnsdurhamnc.org/,36.01362845,-78.91508486
St. Luke's Episcopal Church,St. Luke's Episcopal Church,https://stlukesdurham.org/,36.02790431,-78.93659072
St. Philip's Episcopal Church,St. Philip's Episcopal Church,https://stphilipsdurham.org/,35.99381765,-78.89640653
Shady Grove Church,Shady Grove Church,https://www.shadygrovechurch.net/,35.93403646,-78.75670042
Southside Church Of Christ,Southside Church Of Christ,https://sside.org/,35.96321151,-78.90054704
Saint Joseph's Episcopal Church,Saint Joseph's Episcopal Church,https://stjosephsdurham.org/,36.00740542,-78.92155899
St Mark AME Zion,St Mark AME Zion,https://stmarkamez.org/,35.98939272,-78.90121625
St Paul's Lutheran Church,St Paul's Lutheran Church,https://www.stpaulsdurham.org/,35.97773156,-78.93902843
Revolve Church,Revolve Church,https://www.revolvechurch.com/,36.01710183,-78.92509559
Tabernacle Of Life Church,Tabernacle Of Life Church,https://www.facebook.com/pages/category/Church-of-God/Tabernacle-of-Life-Church-Durham-NC-171733779506850/,36.02831286,-78.93042259
Temple Baptist Church,Temple Baptist Church,https://www.tbcdurham.org/,36.07532334,-78.95251884
Triangle Grace Church,Triangle Grace Church,https://www.trianglegrace.org/,35.91271535,-78.94883549
Trinity Avenue Presbyterian Church,Trinity Avenue Presbyterian Church,https://www.trinityave.org/,36.0059614,-78.90648191
Trinity United Methodist Church,Trinity United Methodist Church,https://www.trinitydurham.org/,35.9966365,-78.89855645
Union Baptist Church,Union Baptist Church,https://myubc.org/,36.00034311,-78.89349439
Watts Street Baptist Church,Watts Street Baptist Church,https://wattsstreet.org/,36.00935865,-78.9107748
West Durham Baptist Church,West Durham Baptist Church,http://westdurhambaptist.org/,35.96638958,-78.8884049
Westminster Presbyterian Church,Westminster Presbyterian Church,https://www.wpcdurham.org/,35.956157,-78.95410326
Yates Baptist Church,Yates Baptist Church,https://yateschurch.org/,35.97440177,-78.93680488
Cedar Fork Baptist Church,Cedar Fork Baptist Church,http://cedarforkbaptist.org/,35.88434718,-78.85035731
Faith In Christ Church Worldwide,Faith In Christ Church Worldwide,https://www.facebook.com/pages/category/Church-of-Christ/Faith-In-Christ-Church-Worldwide-105099401257228/,36.03089986,-78.92503693
Gates of Praise Christian Church,Gates of Praise Christian Church,http://www.gatesofpraisenc.com/,35.95453953,-78.89164825
New Horizon Church,New Horizon Church,https://newhorizonchurch.tv/,36.04857585,-79.01865172
Obedience to the Word Full Gospel Church,Obedience to the Word Full Gospel Church,https://www.obediencetotheword.org/,36.03143904,-78.88338155
Victorious Praise Fellowship Church,Victorious Praise Fellowship Church,https://victoriouspraise.org/,35.93060585,-78.81463343
Antioch Baptist Church,Antioch Baptist Church,https://antiochdurham.org/,35.99457085,-78.87547359
King's Park International Church,King's Park International Church,https://kingspark.org/,35.93134473,-78.89313436
Masjid Tawheed Wa Sunnah,Masjid Tawheed Wa Sunnah,https://www.mtws.org/,35.92712701,-78.88781651
Fusion Point Church,Fusion Point Church,https://www.faithstreet.com/church/fusion-point-church-durham-nc,35.94681283,-78.92017642
Durham Five Oaks SDA Church,Durham Five Oaks SDA Church,https://www.fiveoakschurch.net/,35.94250717,-78.98504192
Peace Covenant Church of the Brethren,Peace Covenant Church of the Brethren,https://peace-covenant.squarespace.com/,35.90961902,-78.92550025
Pilgrim United Church of Christ,Pilgrim United Church of Christ,https://www.pilgrimucc-durham.org/,35.97108477,-78.9426371
Horton Road Church of God,Horton Road Church of God,https://www.discoverdurham.com/directory/horton-road-church-of-god/,36.05719187,-78.91911147
Greater Joy International Ministries,Greater Joy International Ministries,,35.98865179,-78.92846667
Hope Valley Baptist Church,Hope Valley Baptist Church,https://www.hvbc.org/,35.92045716,-78.96129936
Living Waters Christian Community,Living Waters Christian Community,https://lwccnc.com/,35.97299711,-78.84935851
Mount Calvary United Church of Christ,Mount Calvary United Church of Christ,https://www.mountcalvaryucc.org/,35.96928766,-78.89086313
newhope church,newhope church,https://www.newhopechurch.org/,35.89006383,-78.94239422
Eagles' Summit Christian Fellowship Church,Eagles' Summit Christian Fellowship Church,https://www.facebook.com/pages/category/Religious-organization/St-James-Church-of-Christ-Disciples-of-Christ-421915997866507/,35.99692681,-78.91406951
St. James Church of Christ,St. James Church of Christ,https://www.facebook.com/pages/category/Religious-organization/St-James-Church-of-Christ-Disciples-of-Christ-421915997866507/,36.01113508,-78.89417915
Andrews Chapel United Methodist Church,Andrews Chapel United Methodist Church,http://andrewschapel.org/,35.93393771,-78.77315142
Saint Matthew Catholic Community,Saint Matthew Catholic Community,https://www.stmatthewcc.org/,36.12569986,-78.92252642
St. Stephen's Episcopal Church,St. Stephen's Episcopal Church,https://www.ssecdurham.org/,35.9357771,-78.95180731
Los Pentecostales de Durham,Los Pentecostales de Durham,https://fpcdurham.org/,36.02400569,-78.84762822
New Joy Church,New Joy Church,https://newjoychurch.net/,36.12356764,-78.94058594
Praise Tabernacle Worship Center,Praise Tabernacle Worship Center,https://www.facebook.com/pages/category/Religious-organization/Praise-Tabernacle-Worship-Center-Page-112301243802090/,35.99675917,-78.91773074
Divine Grace Worship Center,Divine Grace Worship Center,https://divinegraceworshipcenter.com/,36.0288232,-78.86754322
New Destiny Christian,New Destiny Christian,https://www.discoverdurham.com/directory/new-destiny-christian/,35.97993974,-78.89564983
Durham Immanuel Temple SDA Church,Durham Immanuel Temple SDA Church,https://www.immanueltemplechurch.com/,35.96152418,-78.88814447
Edgewood Baptist Church,Edgewood Baptist Church,https://www.edgewoodbaptistdurham.com/,36.08498123,-78.870935
Faith Community Church,Faith Community Church,https://www.faithforecast.com/,36.06619852,-78.90564251
Central Church of Christ,Central Church of Christ,http://www.centralchurchofchristonline.com/,36.02307153,-78.9500901
Greater New Birth Baptist Church,Greater New Birth Baptist Church,https://www.visitglwc.org/,35.9853886,-78.87023966
Organizing Church,Organizing Church,https://www.organizingchurch.com/contact/,36.00318316,-78.90858325
Grace Church of Durham,Grace Church of Durham,https://gracecod.org/,36.03374198,-78.9525766
Fletcher's Chapel United,Fletcher's Chapel United,https://fletcherschapelumc.org/,36.01246416,-78.80282774
CityWell,CityWell,https://citywell.org/,35.98253576,-78.93124695
New Metropolitan Baptist Church,New Metropolitan Baptist Church,https://www.facebook.com/TheNMBC/videos/,35.95414127,-78.89674928
Orange Grove Missionary Baptist Church,Orange Grove Missionary Baptist Church,https://www.ogmbc.org/,35.97493077,-78.86613141
Rebirth Baptist Church Ministries,Rebirth Baptist Church Ministries,,35.98036673,-78.87910554
Durham Bahá’í Center,Durham Bahá’í Center,https://www.durhambahai.org/,35.89569081,-78.9099498
St. Paul United Methodist Church,St. Paul United Methodist Church,https://stpaulumcdurham.com/,36.0254033,-78.88914394
Iglesia Cristiana Emanuel,Iglesia Cristiana Emanuel,https://www.facebook.com/emanueldurhamnc/,35.94253838,-78.87715792
True Way Holiness Church,True Way Holiness Church,https://www.facebook.com/TrueWayRaleighNC/,35.98213384,-78.77767075
Duke University Chapel,Duke University Chapel,https://chapel.duke.edu/,36.00255133,-78.93956562
Beth El Synagogue,Beth El Synagogue,https://betheldurham.org/,36.01050263,-78.91087296
Judea Reform Congregation,Judea Reform Congregation,https://www.judeareform.org/,35.9790255,-78.9549293
Jewish for Good,Jewish for Good,https://www.jewishforgood.org/,35.98021238,-78.95497663
Durham Shambhala Meditation Center,Durham Shambhala Meditation Center,https://shambhala.org/,36.01051554,-78.92794748
North Carolina Buddhist Temple,North Carolina Buddhist Temple,http://ec2-52-91-233-108.compute-1.amazonaws.com/wordpress/,35.99148191,-78.786767